69634," ""2s"""
73730," ""2h"""
81922," ""2d"""
98306," ""2c"""
135427," ""3s"""
139523," ""3h"""
147715," ""3d"""
164099," ""3c"""
266757," ""4s"""
270853," ""4h"""
279045," ""4d"""
295429," ""4c"""
529159," ""5s"""
533255," ""5h"""
541447," ""5d"""
557831," ""5c"""
1053707," ""6s"""
1057803," ""6h"""
1065995," ""6d"""
1082379," ""6c"""
2102541," ""7s"""
2106637," ""7h"""
2114829," ""7d"""
2131213," ""7c"""
4199953," ""8s"""
4204049," ""8h"""
4212241," ""8d"""
4228625," ""8c"""
8394515," ""9s"""
8398611," ""9h"""
8406803," ""9d"""
8423187," ""9c"""
16783383," ""Ts"""
16787479," ""Th"""
16795671," ""Td"""
16812055," ""Tc"""
33560861," ""Js"""
33564957," ""Jh"""
33573149," ""Jd"""
33589533," ""Jc"""
67115551," ""Qs"""
67119647," ""Qh"""
67127839," ""Qd"""
67144223," ""Qc"""
134224677," ""Ks"""
134228773," ""Kh"""
134236965," ""Kd"""
134253349," ""Kc"""
268442665," ""As"""
268446761," ""Ah"""
268454953," ""Ad"""
268471337," ""Ac"""
